Duration,Franchise,Cluster
119,29.7,9
157,11.88,0
19,36.1,1
26,8.36,4
33,10.64,4
33,14.44,4
4,9.57,11
65,71.28,17
27,23.76,1
42,47.52,5
26,35.64,1
89,71.28,17
36,41.58,18
84,35.64,9
3,11.88,11
117,106.92,13
128,9.57,16
141,47.52,8
9,47.52,3
23,112.86,3
111,23.76,0
115,47.52,9
110,47.52,9
59,8.36,16
33,9.57,4
51,23.76,15
35,47.52,18
134,11.88,0
135,59.4,12
50,11.88,16
34,5.94,4
207,29.7,7
144,23.76,0
38,53.46,5
16,28.5,1
15,9.57,4
79,32.68,9
89,49.4,5
121,65.34,12
77,17.82,15
24,83.16,3
131,65.34,12
75,65.34,5
22,89.1,3
30,11.88,4
58,17.82,15
33,29.7,15
48,41.58,5
48,36.1,15
106,47.52,9
90,29.7,9
112,17.82,0
20,53.46,18
35,95.04,10
108,23.76,0
116,47.52,9
124,23.76,0
82,41.58,9
118,41.58,9
34,11.02,4
111,35.64,9
168,53.46,7
138,17.82,0
21,23.76,1
34,59.4,10
211,5.94,14
83,17.82,15
157,5.94,0
18,10.64,4
18,8.36,4
41,9.57,16
17,41.58,18
36,11.88,4
66,17.82,15
58,23.76,15
11,35.64,1
26,41.58,18
31,47.52,18
55,65.34,5
124,41.58,9
44,29.7,15
37,22.04,15
20,17.82,1
15,47.52,18
127,47.52,9
57,17.82,15
135,71.28,12
21,9.57,4
20,32.68,1
56,29.7,15
108,17.82,0
27,47.52,18
132,77.22,12
81,47.52,5
43,11.88,4
13,23.76,11
49,23.76,15
71,11.88,16
142,41.42,8
6,22.04,11
120,49.4,9
88,49.4,5
44,17.82,15
21,65.34,3
15,23.76,1
97,47.52,9
58,53.46,5
93,35.64,9
28,41.58,18
33,71.28,10
78,35.64,9
83,41.58,9
30,41.58,18
106,32.68,9
28,10.64,4
70,11.88,16
110,17.82,0
107,5.94,16
18,11.88,4
103,5.94,16
78,65.34,5
17,5.94,4
68,89.1,17
27,9.57,4
68,17.82,15
11,53.46,3
75,77.22,17
17,83.16,3
15,5.94,4
102,47.52,9
33,41.58,18
56,41.58,5
103,23.76,0
180,11.88,14
36,77.22,10
28,53.46,18
6,14.44,11
22,42.18,18
82,9.57,16
107,9.57,16
32,32.68,15
39,23.76,15
100,41.58,9
89,23.76,9
92,65.34,17
169,5.94,14
176,5.94,14
75,35.64,15
208,29.7,7
45,53.46,5
87,17.82,0
108,11.88,16
38,47.52,18
136,59.4,12
